Prognosis,Deskripsi,Spesialis
Vertigo Posisional Paroksismal,Gangguan pada telinga dalam yang menyebabkan sensasi berputar atau pusing secara tiba-tiba ketika posisi kepala berubah.,"Spesialis Telinga, Hidung, dan Tenggorokan"
Jerawat,Kondisi kulit yang ditandai dengan peradangan pada folikel rambut dan kelenjar minyak di kulit.,Spesialis Kulit dan Kelamin
AIDS,Stadium akhir dari infeksi HIV (Human Immunodeficiency Virus). ,Spesialis Penyakit Menular
Hepatitis Alkoholik,Peradangan pada hati yang disebabkan oleh konsumsi alkohol yang berlebihan dan kronis.,Spesialis Penyakit Hati
Alergi,"Respons yang berlebihan dari sistem kekebalan tubuh terhadap zat asing, seperti debu, serbuk sari, atau makanan tertentu. ",Spesialis Alergi dan Imunologi
Artritis,"Peradangan pada sendi yang menyebabkan rasa nyeri, pembengkakan, dan kekakuan pada sendi-sendi tubuh.",Spesialis Reumatologi
Asma Bronkial,"Penyakit paru-paru kronis yang ditandai dengan penyempitan saluran pernapasan, mengakibatkan kesulitan bernapas, batuk, dan sesak napas.",Spesialis Paru-paru
Spondilosis Serviks,Degenerasi pada tulang belakang leher yang umumnya terjadi karena penuaan.,Spesialis Tulang Belakang
Cacar air,Infeksi virus yang ditandai dengan munculnya ruam merah berisi cairan pada kulit dan demam ringan.,Spesialis Penyakit Infeksi
Kolestasis kronis,"Kondisi di mana aliran empedu dari hati terganggu, yang dapat menyebabkan penumpukan zat-zat beracun dalam tubuh dan gejala seperti gatal-gatal, kulit kuning, dan urine berwarna gelap.",Spesialis Penyakit Hati
Pilek biasa,"Infeksi virus pada saluran pernapasan bagian atas yang menyebabkan hidung tersumbat, pilek, dan batuk ringan.",Spesialis Penyakit Infeksi
Demam berdarah,Penyakit yang disebabkan oleh infeksi virus dengue yang ditularkan melalui gigitan nyamuk. ,Spesialis Penyakit Infeksi
Diabetes,"Kondisi kronis di mana kadar gula (glukosa) dalam darah tinggi, karena gangguan produksi atau penggunaan hormon insulin.",Spesialis Endokrinologi
Hemoroid dimorfik (ambeien),"Pembengkakan pembuluh darah vena di daerah anus atau rektum yang dapat menyebabkan rasa sakit, gatal, pendarahan, dan ketidaknyamanan saat buang air besar.",Spesialis Gastroenterologi
Reaksi obat,Respons yang tidak diinginkan (efek samping) terhadap penggunaan obat tertentu.,Spesialis Penyakit Infeksi
Infeksi jamur,"Merupakan infeksi yang disebabkan oleh jamur yang dapat mempengaruhi berbagai bagian tubuh, termasuk kulit, kuku, dan organ dalam. ",Spesialis Penyakit Kulit dan Kelamin
Gastroenteritis,"Peradangan pada saluran pencernaan yang disebabkan oleh infeksi virus, bakteri, atau parasit.",Spesialis Gastroenterologi
GERD,"Kondisi di mana asam lambung mengalir kembali ke kerongkongan, menyebabkan gejala seperti nyeri dada, sensasi terbakar di dada (heartburn), dan mual.",Spesialis Gastroenterologi
Serangan jantung,"Serangan jantung terjadi ketika suplai darah ke jantung terganggu secara tiba-tiba, biasanya karena penyumbatan arteri koroner. Infark miokard; penyakit jantung koroner ",Spesialis Jantung dan Pembuluh Darah
Hepatitis A,Penyakit hati yang disebabkan oleh infeksi virus hepatitis A. Penyebarannya terutama melalui makanan atau minuman yang terkontaminasi dengan tinja orang yang terinfeksi.,Spesialis Penyakit Hati
Hepatitis B,"Penyakit hati yang disebabkan oleh infeksi virus hepatitis B. Penularan umumnya melalui kontak dengan cairan tubuh yang terinfeksi, seperti darah, air mani, atau cairan vagina.",Spesialis Penyakit Hati
Hepatitis C,"Penyakit hati yang disebabkan oleh infeksi virus hepatitis C. Penularan utamanya melalui kontak langsung dengan darah yang terinfeksi, seperti menggunakan jarum suntik yang terkontaminasi atau melalui transfusi darah yang tidak aman.",Spesialis Penyakit Hati
Hepatitis D,Penyakit hati yang disebabkan oleh infeksi virus hepatitis D. Infeksi hepatitis D hanya dapat terjadi pada individu yang sudah terinfeksi dengan virus hepatitis B.,Spesialis Penyakit Hati
Hepatitis E,Penyakit hati yang disebabkan oleh infeksi virus hepatitis E. Penyebarannya terutama melalui konsumsi air atau makanan yang terkontaminasi oleh tinja orang yang terinfeksi.,Spesialis Penyakit Hati
Hipertensi,"Tekanan darah tinggi, hipertensi adalah kondisi di mana tekanan darah arteri terus-menerus tinggi. ",Spesialis Kardiologi
Hipertiroidisme,"Kondisi di mana kelenjar tiroid menghasilkan terlalu banyak hormon tiroid, yang dapat menyebabkan peningkatan metabolisme tubuh dan berbagai gejala lainnya.",Spesialis Endokrinologi
Hipoglikemia,Kondisi di mana kadar gula darah menjadi sangat rendah. ,Spesialis Endokrinologi
Hipotiroidisme,"Kondisi di mana kelenjar tiroid menghasilkan terlalu sedikit hormon tiroid, yang dapat menyebabkan penurunan metabolisme tubuh dan berbagai gejala lainnya.",Spesialis Endokrinologi
Impetigo,Infeksi kulit yang biasanya disebabkan oleh bakteri Staphylococcus aureus atau Streptococcus pyogenes,Spesialis Kulit dan Kelamin
Kuning (penyakit kuning),Kondisi di mana kulit dan mata mengalami warna kuning akibat peningkatan kadar bilirubin dalam darah. ,Spesialis Penyakit Hati
Malaria,Penyakit yang disebabkan oleh parasit Plasmodium yang ditularkan melalui gigitan nyamuk Anopheles.,Spesialis Penyakit Infeksi
Migraine,"Jenis sakit kepala yang menyebabkan nyeri berdenyut di satu sisi kepala, sering disertai dengan mual, muntah, dan sensitivitas terhadap cahaya dan suara",Spesialis Neurologi
Osteoartritis,"Bentuk arthritis yang paling umum, yang terjadi ketika lapisan pelindung pada ujung tulang rawan di sendi rusak dan mengalami keausan",Spesialis Ortopedi
Paralisis (pendarahan otak),Kehilangan kemampuan untuk menggerakkan atau mengendalikan sebagian atau seluruh tubuh,Spesialis Neurologi
Penyakit ulkus peptikum,"Kondisi yang ditandai dengan adanya luka atau kerusakan pada dinding lambung, duodenum (bagian pertama usus halus), atau bagian lain dari saluran pencernaan yang terkena asam lambung.",Spesialis Gastroenterologi
Pneumonia,Infeksi yang menyebabkan peradangan pada jaringan paru-paru. ,Spesialis Paru-paru
